Name,Formula,-∆fH°,group,CO-(O)(CO),CO-(CD)(O),CO-(C)(O),CO-(H)(O),CO-(O)(CB),O-(CO)2 aliphatic,O-(CO)2 aromatic,O-(H)(CO),O-(C)(CB),O-(H)(CB),CD-(H)(CO),CD-(C)(CO),CB-(CO)(CB)2,CB-(O)(CB)2,C-(CO)(C)3,C-(H)(CO)(C)2,C-(H)2(CO)(C) ,C-(H)3(O),C-(H)3(CD),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,C-(H)(C)3,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),C-(C)4,CH3(tert),CH3(qua),CO-(C)(CD) ,O-(CD)(CO),O-(H)(C) ,C-(H)2(CO)2,C-(H)(O)(CO)(C) ,C-(H)(CO)(C)(CB),CB-(CB)3,CO-(C)(N),N-(H)(CO)2,C-(H)3(N),N-(CO)2(C),CO-(CD)(N),CO-(N)(CB),CB-(NO2)(CB)2,C-(H)2(N)(C),CB-(N)(CB)2,N-(CO)2(CB),N-(CO)2(N),CBF-(CBF)(CB)2,rsc,radical 1,radical 2,radical 3,radical 4,Correction 1,Correction 2,Correction 3,Correction 4
Adipic acid,C6H10O4,2768.7,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suberic acid,C8H14O4,4110.9,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebacic acid,C10H18O4,5425,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodecanedioic acid,C12H22O4,6736.2,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methoxybenzoic acid,C8H8O3,3752.88,acid,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,ortho,0,0,0
3-Methoxybenzoic acid,C8H8O3,3737.91,acid,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,meta,0,0,0
4-Methoxybenzoic acid,C8H8O3,3729.71,acid,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,para,0,0,0
Trimellitic acid,C9H6O6,3219.9,acid,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,ortho,para,0,0
"L,2-Hydroxypropanoic acid",C3H6O3,1344,acid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Heptadecanoic acid,C17H34O2,10624.4,acid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamantane-1-carboxylic acid,C11H16O2,5972.2,acid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Adamantane-2-carboxylic acid,C11H16O0,5988.1,acid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Malonic Acid,C3H4O4,861.15,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimelic acid,C7H12O4,3460.2,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azelaic acid,C9H16O4,4773.9,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undecanedioic acid,C11H20O4,6087.5,acid,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
